转出,转入,delta,问题一损失差,广义损失差_情景,一阶近似
gutenberg_pg_19,philpapers,0.005,-0.00285566787798075,-0.0003456047227428094,-0.000542640859926957
gutenberg_pg_19,stackexchange,0.005,-0.0011609261839371499,-0.0001405292774108169,-0.00015879333580405826
gutenberg_pg_19,enron_emails,0.005,-0.006474221266882019,-0.0007831895166328096,-0.001435031816307332
gutenberg_pg_19,pile_cc,0.005,-0.000397141018499525,-4.807813590224086e-05,-6.307014486134149e-05
gutenberg_pg_19,ubuntu_irc,0.005,-0.008545969083497695,-0.0010335473124372108,-0.0011879397612554036
gutenberg_pg_19,europarl,0.005,0.0015410678853902127,0.00018660696699601687,0.00017592205509036355
gutenberg_pg_19,hackernews,0.005,-0.00536085568395972,-0.0006485936820976868,-0.0008156924024226669
gutenberg_pg_19,pubmed_abstracts,0.005,-7.383030222740672e-05,-8.938296095273301e-06,-2.6333390438882926e-05
gutenberg_pg_19,uspto_backgrounds,0.005,0.00014775705241731885,1.78887547073181e-05,2.246611115480143e-06
pile_cc,arxiv,0.005,0.0007547549865520864,9.138400831520954e-05,8.278395898428162e-05
pile_cc,freelaw,0.005,0.0006587056196627472,7.975363130396929e-05,7.030097743873e-05
pile_cc,nih_exporter,0.005,-0.0006412684549053083,-7.76300298537258e-05,-0.00019028619480812643
pile_cc,pubmed_central,0.005,0.00042482376909180886,5.1434610022660365e-05,4.199791011918639e-05
pile_cc,wikipedia_en,0.005,0.00016073416336404023,1.9459907662167097e-05,6.8470140552117494e-06
pile_cc,dm_mathematics,0.005,-0.007525387966743402,-0.0009102323480614238,-0.0010225975899108416
pile_cc,github,0.005,0.0006428124806960867,7.782919736865068e-05,6.886000097721579e-05
pile_cc,philpapers,0.005,-0.0023752244109624954,-0.0002874764016516096,-0.00047957071506561546
pile_cc,stackexchange,0.005,-0.0006804827169180072,-8.237679437650414e-05,-9.57231909427168e-05
pile_cc,enron_emails,0.005,-0.005993777799863764,-0.0007251127516840761,-0.0013719616714459907
pile_cc,gutenberg_pg_19,0.005,0.0006362238552481969,7.703141038195582e-05,6.307014486134149e-05
pile_cc,ubuntu_irc,0.005,-0.008065525616478553,-0.0009755000445874629,-0.001124869616394062
pile_cc,europarl,0.005,0.002021511352408467,0.00024479799314880424,0.00023899219995170506
pile_cc,hackernews,0.005,-0.004880412216941465,-0.0005905010590976367,-0.0007526222575613253
pile_cc,pubmed_abstracts,0.005,0.00040661316479084775,4.92296909584411e-05,3.673675442245856e-05
pile_cc,uspto_backgrounds,0.005,0.0006282005194355733,7.605990251802197e-05,6.531675597682163e-05
ubuntu_irc,arxiv,0.005,0.011646356166941985,0.0014119989849197268,0.0012076535753783439
ubuntu_irc,freelaw,0.005,0.011550306800051757,0.0014003375039308708,0.0011951705938327921
ubuntu_irc,nih_exporter,0.005,0.010250332725483702,0.0012425329400111984,0.0009345834215859357
ubuntu_irc,pubmed_central,0.005,0.011316424949480819,0.0013719427469971457,0.0011668675265132484
ubuntu_irc,wikipedia_en,0.005,0.01105233534375305,0.0013398825323256425,0.001131716630449274
ubuntu_irc,dm_mathematics,0.005,0.003366213213645608,0.0004077039318626241,0.00010227202648322035
ubuntu_irc,github,0.005,0.011534413661085097,0.0013984079233395619,0.001193729617371278
ubuntu_irc,philpapers,0.005,0.008516376769426515,0.0010321253605454217,0.0006452989013284465
ubuntu_irc,stackexchange,0.005,0.010211118463471003,0.0012377734808652896,0.0010291464254513453
ubuntu_irc,enron_emails,0.005,0.004897823380526134,0.0005933186072639707,-0.00024709205505192843
ubuntu_irc,gutenberg_pg_19,0.005,0.011527825035637207,0.0013976080027719995,0.0011879397612554036
ubuntu_irc,pile_cc,0.005,0.01097490362890774,0.0013304827930005203,0.001124869616394062
ubuntu_irc,europarl,0.005,0.012913112532798365,0.0015658232561155394,0.0013638618163457673
ubuntu_irc,hackernews,0.005,0.006011188963448433,0.0007282903018528408,0.0003722473588327367
ubuntu_irc,pubmed_abstracts,0.005,0.011298214345179858,0.0013697319311547496,0.0011616063708165206
ubuntu_irc,uspto_backgrounds,0.005,0.011519801699824583,0.001396633896732613,0.0011901863723708837
europarl,arxiv,0.005,-0.0012544194047734436,-0.0001518448238440051,-0.00015620824096742342
europarl,freelaw,0.005,-0.001350468771663671,-0.00016346947217282803,-0.00016869122251297503
europarl,nih_exporter,0.005,-0.0026504428462317264,-0.00032077561210819283,-0.00042927839475983144
europarl,pubmed_central,0.005,-0.0015843506222346093,-0.00019177454457830478,-0.00019699428983251864
europarl,wikipedia_en,0.005,-0.001848440227962378,-0.00022373349741355852,-0.0002321451858964933
europarl,dm_mathematics,0.005,-0.00953456235806982,-0.0011529678219921458,-0.0012615897898625467
europarl,github,0.005,-0.0013663619106303315,-0.00016539295820505728,-0.00017013219897448923
europarl,philpapers,0.005,-0.0043843988022889135,-0.0005305186215425195,-0.0007185629150173204
europarl,stackexchange,0.005,-0.0026896571082444254,-0.0003255200385550161,-0.00033471539089442183
europarl,enron_emails,0.005,-0.008002952191189294,-0.0009679394085071458,-0.0016109538713976956
europarl,gutenberg_pg_19,0.005,-0.0013729505360782213,-0.00016619035223230938,-0.00017592205509036355
europarl,pile_cc,0.005,-0.0019258719428076887,-0.00023310354776517883,-0.00023899219995170506
europarl,ubuntu_irc,0.005,-0.010074700007804971,-0.0012182033701266803,-0.0013638618163457673
europarl,hackernews,0.005,-0.006889586608266995,-0.0008333940205349499,-0.0009916144575130303
europarl,pubmed_abstracts,0.005,-0.0016025612265355704,-0.00019397837758283742,-0.00020225544552924648
europarl,uspto_backgrounds,0.005,-0.0013809738718908449,-0.00016716138156835925,-0.0001736754439748834
hackernews,arxiv,0.005,0.009168646143959513,0.0011112647518731755,0.0008354062165456071
hackernews,freelaw,0.005,0.009072596777069286,0.0010996103539713253,0.0008229232350000554
hackernews,nih_exporter,0.005,0.007772622702502119,0.0009419016392366863,0.000562336062753199
hackernews,pubmed_central,0.005,0.008838714926498348,0.0010712328437780805,0.0007946201676805117
hackernews,wikipedia_en,0.005,0.00857462532077058,0.0010391921022150363,0.0007594692716165371
hackernews,dm_mathematics,0.005,0.0008885031906631369,0.00010757969931285416,-0.00026997533234951633
hackernews,github,0.005,0.009056703638103514,0.0010976819453913933,0.0008214822585385412
hackernews,philpapers,0.005,0.0060386667464440436,0.0007316218595918578,0.00027305154249570993
hackernews,stackexchange,0.005,0.007733408440488532,0.0009371450709467766,0.0006568990666186085
hackernews,enron_emails,0.005,0.0024201133575427747,0.0002930816338975184,-0.0006193394138846651
hackernews,gutenberg_pg_19,0.005,0.009050115012654736,0.0010968825106889568,0.0008156924024226669
hackernews,pile_cc,0.005,0.008497193605925268,0.0010297980722135947,0.0007526222575613253
hackernews,ubuntu_irc,0.005,0.0003483655409279862,4.217720163834926e-05,-0.0003722473588327367
hackernews,europarl,0.005,0.010435402509815894,0.0012649955914807443,0.0009916144575130303
hackernews,pubmed_abstracts,0.005,0.008820504322198275,0.001069023370766864,0.0007893590119837839
hackernews,uspto_backgrounds,0.005,0.009042091676843,0.0010959089963136215,0.000817939013538147
pubmed_abstracts,arxiv,0.005,0.0004751820842310295,5.753198827340711e-05,4.6047204561823055e-05
pubmed_abstracts,freelaw,0.005,0.0003791327173416903,4.590240856705563e-05,3.356422301627144e-05
pubmed_abstracts,nih_exporter,0.005,-0.0009208413572263652,-0.00011147046336867916,-0.00022702294923058499
pubmed_abstracts,pubmed_central,0.005,0.00014525086677075194,1.7585328657698795e-05,5.261155696727835e-06
pubmed_abstracts,wikipedia_en,0.005,-0.00011883873895790487,-1.4387181721087217e-05,-2.9889740367246813e-05
pubmed_abstracts,dm_mathematics,0.005,-0.007804960869064459,-0.0009440157036584296,-0.0010593343443333003
pubmed_abstracts,github,0.005,0.00036323957837502974,4.3978106558650865e-05,3.212324655475722e-05
pubmed_abstracts,philpapers,0.005,-0.0026547973132835523,-0.0003213024494344019,-0.0005163074694880741
pubmed_abstracts,stackexchange,0.005,-0.0009600556192390641,-0.00011621690248331262,-0.00013245994536517536
pubmed_abstracts,enron_emails,0.005,-0.006273350702184821,-0.0007589087979029685,-0.0014086984258684491
pubmed_abstracts,gutenberg_pg_19,0.005,0.00035665095292714,4.3180374262874466e-05,2.6333390438882926e-05
pubmed_abstracts,pile_cc,0.005,-0.00019627045380232744,-2.3761207010863927e-05,-3.673675442245856e-05
pubmed_abstracts,ubuntu_irc,0.005,-0.00834509851879961,-0.0010092789258466794,-0.0011616063708165206
pubmed_abstracts,europarl,0.005,0.0017419384500882984,0.00021093545602024477,0.00020225544552924648
pubmed_abstracts,hackernews,0.005,-0.005159985119261634,-0.0006243063334379073,-0.0007893590119837839
pubmed_abstracts,uspto_backgrounds,0.005,0.0003486276171145164,4.2208932999443505e-05,2.8580001554363064e-05
uspto_backgrounds,arxiv,0.005,0.00022250444627225363,2.6938571623613683e-05,1.7467203007459988e-05
uspto_backgrounds,freelaw,0.005,0.00012645507938291445,1.530971247243329e-05,4.984221461908367e-06
uspto_backgrounds,nih_exporter,0.005,-0.001173518995185141,-0.00014205340881323636,-0.00025560295078494807
uspto_backgrounds,pubmed_central,0.005,-0.0001074267711880239,-1.3005612941707767e-05,-2.331884585763523e-05
uspto_backgrounds,wikipedia_en,0.005,-0.00037151637691579253,-4.49761423388928e-05,-5.8469741921609874e-05
uspto_backgrounds,dm_mathematics,0.005,-0.008057638507023235,-0.0009745470655198041,-0.0010879143458876633
uspto_backgrounds,github,0.005,0.00011056194041625389,1.3385529691767317e-05,3.543245000394151e-06
uspto_backgrounds,philpapers,0.005,-0.002907474951242328,-0.0003518723939213153,-0.0005448874710424371
