Model,task,raw_accuracy,chance_baseline,normalized_score,file
152334H/miqu-1-70b-sf,leaderboard_musr_murder_mysteries,0.604,0.5,20.799999999999997,real_attachments/C_efficiency_evolution/detailed_results/152334H_miqu-1-70b-sf/results_2024-07-26T02-32-43.573766.json
152334H/miqu-1-70b-sf,leaderboard_musr_object_placements,0.390625,0.2,23.828124999999996,real_attachments/C_efficiency_evolution/detailed_results/152334H_miqu-1-70b-sf/results_2024-07-26T02-32-43.573766.json
152334H/miqu-1-70b-sf,leaderboard_musr_team_allocation,0.38,0.3333333333333333,7.000000000000002,real_attachments/C_efficiency_evolution/detailed_results/152334H_miqu-1-70b-sf/results_2024-07-26T02-32-43.573766.json
1TuanPham/T-VisStar-7B-v0.1,leaderboard_musr_murder_mysteries,0.532,0.5,6.400000000000006,real_attachments/C_efficiency_evolution/detailed_results/1TuanPham_T-VisStar-7B-v0.1/results_2024-09-21T10-25-05.082341.json
1TuanPham/T-VisStar-7B-v0.1,leaderboard_musr_object_placements,0.3125,0.2,14.062499999999996,real_attachments/C_efficiency_evolution/detailed_results/1TuanPham_T-VisStar-7B-v0.1/results_2024-09-21T10-25-05.082341.json
1TuanPham/T-VisStar-7B-v0.1,leaderboard_musr_team_allocation,0.468,0.3333333333333333,20.200000000000003,real_attachments/C_efficiency_evolution/detailed_results/1TuanPham_T-VisStar-7B-v0.1/results_2024-09-21T10-25-05.082341.json
1TuanPham/T-VisStar-v0.1,leaderboard_musr_murder_mysteries,0.532,0.5,6.400000000000006,real_attachments/C_efficiency_evolution/detailed_results/1TuanPham_T-VisStar-v0.1/results_2024-09-21T08-53-27.413933.json
1TuanPham/T-VisStar-v0.1,leaderboard_musr_object_placements,0.3125,0.2,14.062499999999996,real_attachments/C_efficiency_evolution/detailed_results/1TuanPham_T-VisStar-v0.1/results_2024-09-21T08-53-27.413933.json
1TuanPham/T-VisStar-v0.1,leaderboard_musr_team_allocation,0.468,0.3333333333333333,20.200000000000003,real_attachments/C_efficiency_evolution/detailed_results/1TuanPham_T-VisStar-v0.1/results_2024-09-21T08-53-27.413933.json
3rd-Degree-Burn/L-3.1-Science-Writer-8B,leaderboard_musr_murder_mysteries,0.588,0.5,17.599999999999994,real_attachments/C_efficiency_evolution/detailed_results/3rd-Degree-Burn_L-3.1-Science-Writer-8B/results_2024-11-20T00-17-49.945335.json
3rd-Degree-Burn/L-3.1-Science-Writer-8B,leaderboard_musr_object_placements,0.33984375,0.2,17.480468749999996,real_attachments/C_efficiency_evolution/detailed_results/3rd-Degree-Burn_L-3.1-Science-Writer-8B/results_2024-11-20T00-17-49.945335.json
3rd-Degree-Burn/L-3.1-Science-Writer-8B,leaderboard_musr_team_allocation,0.26,0.3333333333333333,0.0,real_attachments/C_efficiency_evolution/detailed_results/3rd-Degree-Burn_L-3.1-Science-Writer-8B/results_2024-11-20T00-17-49.945335.json
