Model,MuSR_rebuilt,complete,file,MUSR,type,S,date,difference
LeroyDyer/SpydazWeb_HumanAI_M2,3.9932291666666657,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer_SpydazWeb_HumanAI_M2/results_2025-02-13T18-27-04.338360.json,,,,,
LeroyDyer/SpydazWeb_HumanAI_M3,7.128385416666667,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer_SpydazWeb_HumanAI_M3/results_2025-02-13T18-27-04.338360.json,,,,,
LeroyDyer/_Spydaz_Web_AI_12,2.2028645833333327,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer__Spydaz_Web_AI_12/results_2025-02-13T18-27-04.338360.json,,,,,
LeroyDyer/_Spydaz_Web_AI_14,1.1067708333333328,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer__Spydaz_Web_AI_14/results_2025-02-13T18-27-04.338360.json,,,,,
LeroyDyer/_Spydaz_Web_AI_BIBLE_002,2.4539062499999997,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer__Spydaz_Web_AI_BIBLE_002/results_2025-02-13T18-27-04.338360.json,2.4539062499999997,chat_finetuned,6.86090172693433,2024-09-14,0.0
LeroyDyer/_Spydaz_Web_AI_ChatML_002,2.7890625000000004,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer__Spydaz_Web_AI_ChatML_002/results_2025-02-13T18-27-04.338360.json,,,,,
LeroyDyer/_Spydaz_Web_AI_ChatQA,2.5578125000000003,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer__Spydaz_Web_AI_ChatQA/results_2025-02-13T18-27-04.338360.json,,,,,
LeroyDyer/_Spydaz_Web_AI_ChatQA_003,5.830468750000001,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer__Spydaz_Web_AI_ChatQA_003/results_2025-02-13T18-27-04.338360.json,,,,,
LightningRodLabs/Flashlight-v1.0,9.92838541666667,True,real_attachments/C_efficiency_evolution/detailed_results/LightningRodLabs_Flashlight-v1.0/results_2025-02-13T18-27-04.338360.json,9.92838541666667,chat_finetuned,40.5748695700393,2025-01-18,0.0
LightningRodLabs/Flashlight-v1.1,8.995052083333334,True,real_attachments/C_efficiency_evolution/detailed_results/LightningRodLabs_Flashlight-v1.1/results_2025-02-13T18-27-04.338360.json,,,,,
LightningRodLabs/Flashlight-v1.2,16.45390625,True,real_attachments/C_efficiency_evolution/detailed_results/LightningRodLabs_Flashlight-v1.2/results_2025-02-13T18-27-04.338360.json,,,,,
Lil-R/2_PRYMMAL-ECE-2B-SLERP-V1,13.916927083333334,True,real_attachments/C_efficiency_evolution/detailed_results/Lil-R_2_PRYMMAL-ECE-2B-SLERP-V1/results_2025-02-13T18-27-04.338360.json,13.916927083333334,merge,21.160448654695188,2024-11-07,0.0
Lil-R/2_PRYMMAL-ECE-2B-SLERP-V2,15.620833333333335,True,real_attachments/C_efficiency_evolution/detailed_results/Lil-R_2_PRYMMAL-ECE-2B-SLERP-V2/results_2025-02-13T18-27-04.338360.json,15.620833333333335,merge,21.073953219725933,2024-11-05,0.0
Lil-R/2_PRYMMAL-ECE-7B-SLERP,13.483854166666669,True,real_attachments/C_efficiency_evolution/detailed_results/Lil-R_2_PRYMMAL-ECE-7B-SLERP/results_2025-02-13T18-27-04.338360.json,13.483854166666667,merge,31.51530852235753,2024-11-04,1.7763568394002505e-15
Lil-R/2_PRYMMAL-ECE-7B-SLERP-V1,7.318749999999999,True,real_attachments/C_efficiency_evolution/detailed_results/Lil-R_2_PRYMMAL-ECE-7B-SLERP-V1/results_2025-02-13T18-27-04.338360.json,7.318749999999999,merge,3.733001542831197,2024-10-28,0.0
