Model,date,type,N,license,exclusion
NyxKrage/Microsoft_Phi-4,2024-12-21,chat_finetuned,14.66,other,license_unverified;
OEvortex/Emotional-llama-8B,2024-12-29,merge,8.03,llama3,
OEvortex/HelpingAI-15B,2024-07-13,pretrained,15.323,other,license_unverified;
OEvortex/HelpingAI-3B-reloaded,2024-10-31,continued,2.81,other,license_unverified;
OEvortex/HelpingAI2-9B,2024-10-11,pretrained,8.903,other,license_unverified;
OEvortex/HelpingAI2.5-10B,2024-11-19,continued,10.211,other,license_unverified;
OliveiraJLT/Sagui-7B-Instruct-v0.1,2024-07-18,chat_finetuned,6.738,other,license_unverified;
Omkar1102/code-yi,2024-11-16,merge,2.084,,license_unverified;
Omkar1102/code-yi,2024-11-16,chat_finetuned,2.084,,license_unverified;
OmnicromsBrain/NeuralStar_FusionWriter_4x7b,2024-07-01,merge,24.154,apache-2.0,
OnlyCheeini/greesychat-turbo,2024-12-18,chat_finetuned,8.03,apache-2.0,
Open-Orca/Mistral-7B-OpenOrca,2024-06-12,chat_finetuned,7.0,apache-2.0,
OpenAssistant/oasst-sft-1-pythia-12b,2024-06-12,chat_finetuned,12.0,apache-2.0,
OpenBuddy/openbuddy-falcon3-10b-v24.2-131k,2025-01-02,chat_finetuned,10.34,,license_unverified;
OpenBuddy/openbuddy-llama3-70b-v21.2-32k,2024-09-05,chat_finetuned,70.554,other,license_unverified;
OpenBuddy/openbuddy-llama3-8b-v21.1-8k,2024-08-03,chat_finetuned,8.03,other,license_unverified;
OpenBuddy/openbuddy-llama3-8b-v21.2-32k,2024-06-26,chat_finetuned,8.03,other,license_unverified;
OpenBuddy/openbuddy-llama3.1-70b-v22.1-131k,2024-08-24,chat_finetuned,70.554,other,license_unverified;
OpenBuddy/openbuddy-llama3.1-8b-v22.2-131k,2024-07-29,chat_finetuned,8.03,other,license_unverified;
OpenBuddy/openbuddy-llama3.1-8b-v22.3-131k,2024-08-24,chat_finetuned,8.03,other,license_unverified;
OpenBuddy/openbuddy-llama3.2-1b-v23.1-131k,2024-10-09,chat_finetuned,1.498,llama3.2,
OpenBuddy/openbuddy-llama3.2-3b-v23.2-131k,2024-10-15,chat_finetuned,3.607,llama3.2,
OpenBuddy/openbuddy-llama3.3-70b-v24.1-131k,2024-12-08,chat_finetuned,70.554,llama3.3,
OpenBuddy/openbuddy-mixtral-7bx8-v18.1-32k,2024-06-26,chat_finetuned,46.741,apache-2.0,
OpenBuddy/openbuddy-nemotron-70b-v23.1-131k,2024-10-23,chat_finetuned,70.554,llama3.1,
OpenBuddy/openbuddy-nemotron-70b-v23.2-131k,2024-10-24,chat_finetuned,70.554,llama3.1,
OpenBuddy/openbuddy-qwen2.5llamaify-14b-v23.1-200k,2024-09-23,chat_finetuned,14.77,apache-2.0,
OpenBuddy/openbuddy-qwen2.5llamaify-14b-v23.3-200k,2024-10-11,chat_finetuned,14.77,apache-2.0,
OpenBuddy/openbuddy-qwen2.5llamaify-7b-v23.1-200k,2024-10-10,chat_finetuned,7.615,apache-2.0,
OpenBuddy/openbuddy-qwq-32b-v24.1-200k,2024-12-22,chat_finetuned,32.764,apache-2.0,
OpenBuddy/openbuddy-qwq-32b-v24.2-200k,2024-12-30,chat_finetuned,32.764,apache-2.0,
OpenBuddy/openbuddy-yi1.5-34b-v21.3-32k,2024-08-30,chat_finetuned,34.407,apache-2.0,
OpenBuddy/openbuddy-zero-14b-v22.3-32k,2024-07-29,chat_finetuned,14.022,other,license_unverified;
OpenBuddy/openbuddy-zero-3b-v21.2-32k,2024-06-26,chat_finetuned,4.769,other,license_unverified;
OpenBuddy/openbuddy-zero-56b-v21.2-32k,2024-06-26,merge,56.707,other,license_unverified;
OpenGenerativeAI/Bifrost,2025-03-07,chat_finetuned,14.66,apache-2.0,
OpenGenerativeAI/Bifrost-14B,2025-03-07,chat_finetuned,14.66,apache-2.0,
OpenLLM-France/Lucie-7B,2025-01-14,pretrained,6.707,apache-2.0,
OpenLLM-France/Lucie-7B-Instruct,2025-01-14,chat_finetuned,6.707,,license_unverified;
OpenLLM-France/Lucie-7B-Instruct-human-data,2025-01-14,chat_finetuned,6.707,apache-2.0,
OpenLLM-France/Lucie-7B-Instruct-v1.1,2025-02-25,chat_finetuned,6.707,apache-2.0,
OpenLeecher/llama3-8b-lima,2024-10-01,chat_finetuned,8.03,,license_unverified;
OpenScholar/Llama-3.1_OpenScholar-8B,2024-12-03,chat_finetuned,8.0,apache-2.0,
Orenguteng/Llama-3.1-8B-Lexi-Uncensored,2024-07-29,chat_finetuned,8.03,llama3.1,
Orenguteng/Llama-3.1-8B-Lexi-Uncensored-V2,2024-08-28,chat_finetuned,8.03,llama3.1,
Orion-zhen/Qwen2.5-7B-Instruct-Uncensored,2024-10-19,chat_finetuned,7.616,gpl-3.0,
Orion-zhen/phi-4-abliterated,2024-12-20,chat_finetuned,14.66,gpl-3.0,
P0x0/Astra-v1-12B,2024-09-23,chat_finetuned,12.248,apache-2.0,
PJMixers/LLaMa-3-CursedStock-v2.0-8B,2024-06-27,merge,8.03,llama3,
PJMixers-Dev/L3.2-Instruct-Thinking-v0.1-1B,2025-01-11,chat_finetuned,1.236,,license_unverified;
PJMixers-Dev/LLaMa-3.1-Instruct-Interleaved-Zeroed-13B,2024-12-18,chat_finetuned,13.047,llama3.1,
PJMixers-Dev/LLaMa-3.1-RomboTiesTest-8B,2024-12-20,merge,4.015,,license_unverified;
PJMixers-Dev/LLaMa-3.1-RomboTiesTest2-8B,2024-12-21,merge,4.015,,license_unverified;
PJMixers-Dev/LLaMa-3.2-Instruct-JankMix-v0.1-SFT-3B,2024-10-12,chat_finetuned,3.213,llama3.2,
PJMixers-Dev/LLaMa-3.2-Instruct-JankMix-v0.2-SFT-3B,2024-10-14,chat_finetuned,3.213,llama3.2,
PJMixers-Dev/LLaMa-3.2-Instruct-JankMix-v0.2-SFT-HailMary-v0.1-KTO-3B,2024-10-28,chat_finetuned,3.213,llama3.2,
PJMixers-Dev/LLaMa-3.2-Instruct-JankMixBread-v0.1-3B,2024-10-12,merge,3.213,llama3.2,
PJMixers-Dev/Qwen2.5-RomboTiesTest-7B,2024-12-21,merge,3.808,,license_unverified;
Parissa3/test-model,2024-11-16,merge,7.242,,license_unverified;
Pinkstack/PARM-V1.5-base-QwQ-Qwen-2.5-o1-3B,2025-01-16,chat_finetuned,3.086,apache-2.0,
Pinkstack/SuperThoughts-CoT-14B-16k-o1-QwQ,2025-01-16,chat_finetuned,14.66,mit,
Pinkstack/Superthoughts-lite-1.8B-experimental-o1,2025-01-31,continued,1.812,apache-2.0,
Pinkstack/Superthoughts-lite-v1,2025-02-13,chat_finetuned,1.711,apache-2.0,
PocketDoc/Dans-Instruct-CoreCurriculum-12b,2024-09-01,chat_finetuned,12.0,,license_unverified;
PocketDoc/Dans-PersonalityEngine-V1.1.0-12b,2024-12-19,chat_finetuned,12.248,apache-2.0,
PocketDoc/Dans-PersonalityEngine-V1.2.0-24b,2025-02-19,chat_finetuned,23.572,apache-2.0,
PocketDoc/Dans-PersonalityEngine-v1.0.0-8b,2024-10-08,chat_finetuned,8.03,apache-2.0,
PocketDoc/Dans-SakuraKaze-V1.0.0-12b,2025-02-28,chat_finetuned,12.248,apache-2.0,
PowerInfer/SmallThinker-3B-Preview,2025-01-07,chat_finetuned,3.397,,license_unverified;
PranavHarshan/LaMistral-V4,2024-10-05,chat_finetuned,8.03,apache-2.0,
PranavHarshan/MedNarra-X1,2024-10-09,chat_finetuned,8.03,,license_unverified;
Pretergeek/OpenChat-3.5-0106_10.7B_48Layers-Appended,2024-07-31,merge,10.732,apache-2.0,
Pretergeek/OpenChat-3.5-0106_10.7B_48Layers-Interleaved,2024-08-16,chat_finetuned,10.732,apache-2.0,
Pretergeek/OpenChat-3.5-0106_32K-PoSE,2024-11-02,chat_finetuned,7.242,apache-2.0,
Pretergeek/OpenChat-3.5-0106_8.11B_36Layers-Appended,2024-07-27,merge,8.114,apache-2.0,
Pretergeek/OpenChat-3.5-0106_8.11B_36Layers-Interleaved,2024-08-16,chat_finetuned,8.114,apache-2.0,
Pretergeek/OpenChat-3.5-0106_8.99B_40Layers-Appended,2024-07-27,merge,8.987,apache-2.0,
Pretergeek/OpenChat-3.5-0106_8.99B_40Layers-Interleaved,2024-08-16,chat_finetuned,8.987,apache-2.0,
Pretergeek/OpenChat-3.5-0106_9.86B_44Layers-Appended,2024-07-27,merge,9.859,apache-2.0,
Pretergeek/openchat-3.5-0106_Rebased_Mistral-7B-v0.2,2024-07-21,chat_finetuned,7.242,apache-2.0,
PrimeIntellect/INTELLECT-1,2024-11-29,pretrained,10.211,apache-2.0,
PrimeIntellect/INTELLECT-1,2024-12-03,pretrained,10.211,apache-2.0,
PrimeIntellect/INTELLECT-1-Instruct,2024-11-29,chat_finetuned,10.211,apache-2.0,
PuxAI/LUA_model,2024-12-18,chat_finetuned,7.386,,license_unverified;
PygmalionAI/pygmalion-6b,2024-06-12,chat_finetuned,6.0,creativeml-openrail-m,
Q-bert/MetaMath-1B,2024-09-30,chat_finetuned,1.236,,license_unverified;
Quazim0t0/1up-14b,2025-02-27,merge,14.66,,license_unverified;
Quazim0t0/Adamant-14B-sce,2025-02-04,merge,14.66,,license_unverified;
Quazim0t0/Alice-14B,2025-03-10,merge,14.66,,license_unverified;
Quazim0t0/Alien-CoT-14B-sce,2025-02-03,merge,14.66,,license_unverified;
Quazim0t0/Aura-8B-Linear,2025-02-07,merge,8.03,,license_unverified;
Quazim0t0/Casa-14b-sce,2025-02-06,chat_finetuned,14.66,,license_unverified;
Quazim0t0/Casa-14b-sce,2025-02-06,merge,14.66,,license_unverified;
Quazim0t0/Charlie-8B-Linear,2025-02-08,merge,8.03,,license_unverified;
Quazim0t0/Chromatic-8b-sce,2025-02-06,merge,8.03,,license_unverified;
Quazim0t0/CoT_Phi,2025-02-27,merge,14.66,,license_unverified;
Quazim0t0/Dyson-14b,2025-03-09,merge,14.66,,license_unverified;
Quazim0t0/Edu-14B-Linear,2025-02-27,merge,14.66,,license_unverified;
Quazim0t0/Fugazi14b,2025-02-27,merge,14.66,,license_unverified;
Quazim0t0/GZA-14B-sce,2025-01-31,merge,14.66,,license_unverified;
Quazim0t0/Geedorah-14B,2025-03-13,merge,14.66,,license_unverified;
Quazim0t0/GivingTree-8b-sce,2025-02-06,merge,8.03,,license_unverified;
Quazim0t0/GuiltySpark-14B-ties,2025-02-06,merge,14.66,,license_unverified;
Quazim0t0/Halo-14B-sce,2025-02-04,merge,14.66,,license_unverified;
Quazim0t0/Heretic1.5b,2025-02-27,merge,1.73,,license_unverified;
Quazim0t0/Hyde-14b-sce,2025-02-07,merge,14.66,,license_unverified;
Quazim0t0/Imagine-v0.5-16bit,2025-03-09,chat_finetuned,14.66,apache-2.0,
Quazim0t0/Imbue-14b,2025-03-09,merge,14.66,,license_unverified;
Quazim0t0/Insom,2025-02-27,merge,14.66,,license_unverified;
Quazim0t0/InspectorDeck-14B-sce,2025-02-05,merge,14.66,,license_unverified;
Quazim0t0/Jekyl-8b-sce,2025-02-06,merge,8.03,,license_unverified;
Quazim0t0/Jigsaw-14B-Linear,2025-02-27,merge,14.66,,license_unverified;
Quazim0t0/Katana-8b-sce,2025-02-06,merge,8.03,,license_unverified;
Quazim0t0/Knot-CoT-14B-sce,2025-02-03,merge,14.66,,license_unverified;
Quazim0t0/Lineage-14B,2025-03-13,merge,14.66,,license_unverified;
Quazim0t0/Lo-Phi-14b,2025-03-09,merge,14.66,,license_unverified;
Quazim0t0/Loke-14B-sce,2025-02-04,merge,14.66,,license_unverified;
Quazim0t0/MFDOOM-14B,2025-03-09,merge,14.66,,license_unverified;
Quazim0t0/MFGRIMM-14B,2025-03-09,merge,14.66,,license_unverified;
Quazim0t0/Math_Phi4_Reason,2025-02-27,merge,14.66,,license_unverified;
Quazim0t0/Mithril-14B-sce,2025-02-04,merge,14.66,,license_unverified;
Quazim0t0/Mononoke-14B-sce,2025-02-03,merge,14.66,,license_unverified;
Quazim0t0/Motion-8B-Linear,2025-02-08,merge,8.03,,license_unverified;
Quazim0t0/Mouse-9B,2025-03-13,merge,9.207,,license_unverified;
Quazim0t0/Nova-14b-sce,2025-02-06,chat_finetuned,14.66,,license_unverified;
Quazim0t0/NovaScotia-14b-stock,2025-02-05,merge,14.66,,license_unverified;
Quazim0t0/ODB-14B-sce,,other,0.0,,license_unverified;missing_submission_date;invalid_N;
Quazim0t0/ODB-14b-sce,2025-02-06,merge,14.66,,license_unverified;
Quazim0t0/Oasis-14B-ties,2025-02-06,merge,14.66,,license_unverified;
Quazim0t0/Origami-14B-sce,2025-02-03,merge,14.66,,license_unverified;
Quazim0t0/Phi4.Turn.R1Distill.16bit,2025-01-30,chat_finetuned,14.66,apache-2.0,
Quazim0t0/Phi4.Turn.R1Distill_v1.5.1-Tensors,2025-01-31,chat_finetuned,14.66,apache-2.0,
Quazim0t0/Phi4Basis-14B-sce,2025-02-03,merge,14.66,,license_unverified;
Quazim0t0/Ponder-14B-linear,2025-02-06,merge,14.66,,license_unverified;
Quazim0t0/RZA-14B-sce,2025-01-31,merge,14.66,,license_unverified;
Quazim0t0/Rosemary-14b,2025-03-01,merge,14.66,,license_unverified;
Quazim0t0/Rune-14b,2025-03-01,merge,14.66,,license_unverified;
Quazim0t0/SZA-14B-sce,2025-02-05,merge,14.66,,license_unverified;
Quazim0t0/Sake-20b,2025-03-13,merge,21.475,,license_unverified;
Quazim0t0/Spok-14b-sce,2025-02-07,merge,14.66,,license_unverified;
Quazim0t0/Sumatra-20b,2025-02-06,merge,21.475,,license_unverified;
Quazim0t0/SuperNova14b,2025-02-27,merge,14.66,,license_unverified;
Quazim0t0/TB0-8B-sce,2025-02-07,merge,8.03,,license_unverified;
Quazim0t0/TBL-8B-sce,2025-02-07,merge,8.03,,license_unverified;
Quazim0t0/ThinkPhi1.1-Tensors,2025-01-30,chat_finetuned,14.66,apache-2.0,
Quazim0t0/Venti-20b,2025-02-05,merge,21.475,,license_unverified;
Quazim0t0/Venti-Blend-sce,2025-02-05,merge,21.475,,license_unverified;
Quazim0t0/Vine-14b-sce,2025-02-06,merge,14.66,,license_unverified;
Quazim0t0/Wendy-14B,2025-03-10,merge,14.66,,license_unverified;
Quazim0t0/Wu-14b-sce,2025-02-07,merge,14.66,,license_unverified;
Quazim0t0/bloom-14b-stock,2025-02-05,merge,14.66,,license_unverified;
Quazim0t0/caramel-14B,2025-03-13,merge,14.66,,license_unverified;
Quazim0t0/graphite-14b-sce,2025-02-05,merge,14.66,,license_unverified;
Quazim0t0/mocha-14B,2025-03-13,merge,14.66,,license_unverified;
Quazim0t0/mosaic-14b-sce,2025-02-05,merge,14.66,,license_unverified;
Quazim0t0/tesseract-14b-stock,2025-02-05,merge,14.66,,license_unverified;
Quazim0t0/time-14b-stock,2025-02-05,merge,14.66,,license_unverified;
Qwen/QwQ-32B,2025-03-11,chat_finetuned,32.764,apache-2.0,
Qwen/QwQ-32B-Preview,2024-11-29,chat_finetuned,32.764,apache-2.0,
Qwen/Qwen1.5-0.5B,2024-06-13,pretrained,0.62,other,license_unverified;
Qwen/Qwen1.5-0.5B-Chat,2024-06-12,chat_finetuned,0.62,other,license_unverified;
Qwen/Qwen1.5-1.8B,2024-06-13,pretrained,1.837,other,license_unverified;
Qwen/Qwen1.5-1.8B-Chat,2024-06-12,chat_finetuned,1.837,other,license_unverified;
Qwen/Qwen1.5-110B,2024-06-13,pretrained,111.21,other,license_unverified;
Qwen/Qwen1.5-110B-Chat,2024-06-12,chat_finetuned,111.21,other,license_unverified;
Qwen/Qwen1.5-14B,2024-06-13,pretrained,14.167,other,license_unverified;
Qwen/Qwen1.5-14B-Chat,2024-06-12,chat_finetuned,14.167,other,license_unverified;
Qwen/Qwen1.5-32B,2024-06-13,pretrained,32.512,other,license_unverified;
Qwen/Qwen1.5-32B-Chat,2024-06-12,chat_finetuned,32.512,other,license_unverified;
Qwen/Qwen1.5-4B,2024-06-13,pretrained,3.95,other,license_unverified;
Qwen/Qwen1.5-4B-Chat,2024-06-12,chat_finetuned,3.95,other,license_unverified;
Qwen/Qwen1.5-7B,2024-06-09,pretrained,7.721,other,license_unverified;
Qwen/Qwen1.5-7B-Chat,2024-06-12,chat_finetuned,7.721,other,license_unverified;
Qwen/Qwen1.5-MoE-A2.7B,2024-06-13,pretrained,14.316,other,license_unverified;
Qwen/Qwen1.5-MoE-A2.7B-Chat,2024-06-12,chat_finetuned,14.316,other,license_unverified;
Qwen/Qwen2-0.5B,2024-11-30,pretrained,0.494,apache-2.0,
Qwen/Qwen2-0.5B-Instruct,2024-06-12,chat_finetuned,0.494,apache-2.0,
Qwen/Qwen2-1.5B,2024-06-09,pretrained,1.544,apache-2.0,
Qwen/Qwen2-1.5B-Instruct,2024-06-12,chat_finetuned,1.544,apache-2.0,
Qwen/Qwen2-57B-A14B,2024-06-13,pretrained,57.409,apache-2.0,
Qwen/Qwen2-57B-A14B-Instruct,2024-08-14,chat_finetuned,57.409,apache-2.0,
Qwen/Qwen2-72B,2024-06-26,pretrained,72.706,other,license_unverified;
Qwen/Qwen2-72B-Instruct,2024-06-26,chat_finetuned,72.706,other,license_unverified;
Qwen/Qwen2-7B,2024-06-09,pretrained,7.616,apache-2.0,
Qwen/Qwen2-7B-Instruct,2024-06-12,chat_finetuned,7.616,apache-2.0,
Qwen/Qwen2-Math-72B-Instruct,2024-08-19,chat_finetuned,72.706,other,license_unverified;
Qwen/Qwen2-Math-7B,2024-08-19,chat_finetuned,7.616,apache-2.0,
Qwen/Qwen2-VL-72B-Instruct,2024-10-20,other,73.406,other,license_unverified;
Qwen/Qwen2-VL-7B-Instruct,2024-10-20,other,8.291,apache-2.0,
Qwen/Qwen2.5-0.5B,2024-09-19,pretrained,0.5,apache-2.0,
Qwen/Qwen2.5-0.5B-Instruct,2024-09-19,chat_finetuned,0.5,apache-2.0,
Qwen/Qwen2.5-0.5B-Instruct,2024-10-16,chat_finetuned,0.494,apache-2.0,
Qwen/Qwen2.5-1.5B,2024-09-19,pretrained,1.5,apache-2.0,
Qwen/Qwen2.5-1.5B-Instruct,2024-09-19,chat_finetuned,1.5,apache-2.0,
Qwen/Qwen2.5-14B,2024-09-19,pretrained,14.77,apache-2.0,
Qwen/Qwen2.5-14B-Instruct,2024-09-18,chat_finetuned,14.77,apache-2.0,
Qwen/Qwen2.5-14B-Instruct-1M,2025-01-26,chat_finetuned,14.77,apache-2.0,
Qwen/Qwen2.5-32B,2024-09-19,pretrained,32.764,apache-2.0,
Qwen/Qwen2.5-32B-Instruct,2024-09-19,chat_finetuned,32.764,apache-2.0,
Qwen/Qwen2.5-3B,2024-09-27,pretrained,3.086,other,license_unverified;
Qwen/Qwen2.5-3B-Instruct,2024-09-19,chat_finetuned,3.0,other,license_unverified;
Qwen/Qwen2.5-72B,2024-09-19,pretrained,72.706,other,license_unverified;
Qwen/Qwen2.5-72B-Instruct,2024-10-16,chat_finetuned,72.706,other,license_unverified;
Qwen/Qwen2.5-7B,2024-09-19,pretrained,7.616,apache-2.0,
Qwen/Qwen2.5-7B-Instruct,2024-09-18,chat_finetuned,7.616,apache-2.0,
Qwen/Qwen2.5-7B-Instruct-1M,2025-01-26,chat_finetuned,7.616,apache-2.0,
Qwen/Qwen2.5-Coder-14B,2024-11-12,pretrained,14.77,apache-2.0,
Qwen/Qwen2.5-Coder-14B-Instruct,2024-11-12,chat_finetuned,14.77,apache-2.0,
Qwen/Qwen2.5-Coder-32B,2024-12-10,pretrained,32.764,apache-2.0,
Qwen/Qwen2.5-Coder-32B-Instruct,2024-12-10,chat_finetuned,32.764,apache-2.0,
Qwen/Qwen2.5-Coder-7B,2024-09-21,pretrained,7.616,apache-2.0,
Qwen/Qwen2.5-Coder-7B-Instruct,2024-11-07,chat_finetuned,7.616,apache-2.0,
Qwen/Qwen2.5-Coder-7B-Instruct,2024-11-07,chat_finetuned,7.616,apache-2.0,
Qwen/Qwen2.5-Math-1.5B-Instruct,2025-03-06,chat_finetuned,1.544,apache-2.0,
Qwen/Qwen2.5-Math-72B-Instruct,2024-09-29,chat_finetuned,72.706,other,license_unverified;
Qwen/Qwen2.5-Math-7B,2024-09-21,continued,7.616,apache-2.0,
Qwen/Qwen2.5-Math-7B-Instruct,2024-09-19,chat_finetuned,7.0,apache-2.0,
RDson/WomboCombo-R1-Coder-14B-Preview,2025-02-06,merge,14.77,,license_unverified;
RESMPDEV/EVA-Qwen2.5-1.5B-FRFR,2025-01-14,chat_finetuned,1.544,apache-2.0,
RESMPDEV/Qwen2-Wukong-0.5B,2024-06-30,chat_finetuned,0.63,apache-2.0,
RLHFlow/ArmoRM-Llama3-8B-v0.1,2024-10-08,chat_finetuned,7.511,llama3,
RLHFlow/LLaMA3-iterative-DPO-final,2024-06-26,chat_finetuned,8.03,llama3,
RWKV/rwkv-raven-14b,2024-07-08,chat_finetuned,14.0,,license_unverified;
Rakuten/RakutenAI-2.0-mini-instruct,2025-02-26,chat_finetuned,1.535,apache-2.0,
Rakuten/RakutenAI-7B,2024-09-06,chat_finetuned,7.373,apache-2.0,
Rakuten/RakutenAI-7B-chat,2024-09-08,chat_finetuned,7.373,apache-2.0,
Replete-AI/L3-Pneuma-8B,2024-10-15,chat_finetuned,8.03,llama3,
Replete-AI/L3.1-Pneuma-8B,2024-11-13,chat_finetuned,8.03,llama3.1,
Replete-AI/Llama3-8B-Instruct-Replete-Adapted,2024-07-09,chat_finetuned,8.0,,license_unverified;
Replete-AI/Replete-Coder-Instruct-8b-Merged,2024-07-11,merge,8.03,,license_unverified;
Replete-AI/Replete-Coder-Llama3-8B,2024-06-26,chat_finetuned,8.03,,license_unverified;
Replete-AI/Replete-Coder-Qwen2-1.5b,2024-06-26,chat_finetuned,1.544,,license_unverified;
Replete-AI/Replete-LLM-Qwen2-7b,2024-08-13,chat_finetuned,7.616,,license_unverified;
Replete-AI/Replete-LLM-Qwen2-7b,2024-08-13,chat_finetuned,7.616,,license_unverified;
Replete-AI/Replete-LLM-Qwen2-7b_Beta-Preview,2024-07-26,chat_finetuned,7.616,,license_unverified;
Replete-AI/Replete-LLM-V2-Llama-3.1-8b,2024-08-30,chat_finetuned,8.03,,license_unverified;
RezVortex/JAJUKA-WEWILLNEVERFORGETYOU-3B,2025-02-26,merge,3.213,,license_unverified;
RezVortex/Jajuka-3b,2025-02-26,merge,3.213,,license_unverified;
Ro-xe/FMixIA-7B-DARE-0,2024-12-13,merge,7.242,apache-2.0,
Ro-xe/FMixIA-7B-SLERP-27,2024-12-12,merge,7.242,apache-2.0,
Ro-xe/FMixIA-7B-TIES-1,2024-12-13,merge,7.242,apache-2.0,
Ro-xe/FMixIA-FrankenMerge-9.5B-PT-9,2024-12-13,merge,14.141,apache-2.0,
Rombo-Org/Rombo-LLM-V2.5-Qwen-7b,2025-01-13,merge,7.616,apache-2.0,
RubielLabarta/LogoS-7Bx2-MoE-13B-v0.2,2024-08-05,merge,12.879,apache-2.0,
SaisExperiments/Evil-Alpaca-3B-L3.2,2024-09-28,chat_finetuned,3.213,,license_unverified;
SaisExperiments/Gemma-2-2B-Opus-Instruct,2024-10-07,chat_finetuned,2.614,gemma,
SaisExperiments/Gemma-2-2B-Stheno-Filtered,2024-10-08,chat_finetuned,2.614,gemma,
SaisExperiments/Not-So-Small-Alpaca-24B,2025-02-07,chat_finetuned,23.572,apache-2.0,
SaisExperiments/QwOwO-7B-V1,2025-02-26,chat_finetuned,7.616,apache-2.0,
SaisExperiments/RightSheep-Llama3.2-3B,2025-01-25,chat_finetuned,3.213,llama3.2,
Sakalti/Anemoi-3B,2025-01-14,chat_finetuned,3.397,other,license_unverified;
Sakalti/Euphrates-14B,2025-01-15,merge,14.77,,license_unverified;
Sakalti/Llama3.2-3B-Uranus-1,2025-01-09,chat_finetuned,3.213,llama3.2,
Sakalti/Magro-7B-v1.1,2024-12-12,merge,7.242,mit,
Sakalti/Neptuno-3B,2025-01-08,chat_finetuned,3.397,other,license_unverified;
Sakalti/Neptuno-Alpha,2025-01-09,chat_finetuned,3.397,other,license_unverified;
Sakalti/Oxyge1-33B,2024-12-18,chat_finetuned,32.764,apache-2.0,
Sakalti/Phi3.5-Comets-3.8B,2024-12-21,merge,3.821,mit,
Sakalti/Qwen2.5-1B-Instruct,2025-01-18,chat_finetuned,0.988,apache-2.0,
Sakalti/QwenTest-7,2025-01-19,chat_finetuned,0.988,apache-2.0,
Sakalti/SJT-0.5B,2025-01-17,chat_finetuned,0.63,apache-2.0,
Sakalti/SJT-1.5B-Alpha,2025-01-19,chat_finetuned,1.777,apache-2.0,
Sakalti/SJT-1.5B-Alpha-1.1,2025-01-19,chat_finetuned,1.777,apache-2.0,
Sakalti/SJT-1.7B,2025-01-18,chat_finetuned,1.684,apache-2.0,
Sakalti/SJT-14B,2025-01-14,merge,14.766,apache-2.0,
Sakalti/SJT-2.4B,2025-01-23,chat_finetuned,2.432,,license_unverified;
Sakalti/SJT-24B-Alpha,2025-02-02,chat_finetuned,24.125,,license_unverified;
Sakalti/SJT-2B,2025-01-17,chat_finetuned,2.614,gemma,
Sakalti/SJT-2B-V1.1,2025-02-04,chat_finetuned,2.614,gemma,
Sakalti/SJT-3.7B,2025-01-21,chat_finetuned,3.783,apache-2.0,
Sakalti/SJT-4B,2025-01-14,chat_finetuned,3.821,mit,
Sakalti/SJT-7.5B,2025-02-01,chat_finetuned,7.456,,license_unverified;
Sakalti/SJT-7B-V1.1,2025-02-03,chat_finetuned,7.613,,license_unverified;
Sakalti/SJT-7B-V1.1-Multilingal,2025-02-04,chat_finetuned,7.613,,license_unverified;
Sakalti/SJT-8B,2025-02-02,chat_finetuned,8.548,,license_unverified;
Sakalti/SJT-8B-V1.1,2025-02-04,chat_finetuned,8.545,,license_unverified;
Sakalti/SJT-900M,2025-01-19,chat_finetuned,0.899,apache-2.0,
Sakalti/SJT-Moe2x7.5B,2025-02-01,chat_finetuned,13.401,apache-2.0,
Sakalti/SJTPass-2,2025-01-25,chat_finetuned,0.63,apache-2.0,
Sakalti/SJTPass-4,2025-01-25,chat_finetuned,1.167,,license_unverified;
Sakalti/SJTPass-5,2025-01-25,chat_finetuned,0.809,,license_unverified;
Sakalti/Saba-Passthrough-2,2024-12-20,merge,3.087,apache-2.0,
Sakalti/Saba1-1.8B,2024-12-14,chat_finetuned,1.777,apache-2.0,
Sakalti/Saba1-7B,2025-01-13,chat_finetuned,7.616,,license_unverified;
Sakalti/Saba1.5-1.5B,2024-12-14,chat_finetuned,1.544,apache-2.0,
Sakalti/Saba1.5-Pro-3B,2024-12-15,merge,2.9,apache-2.0,
Sakalti/Saba2-14B-Preview,2024-12-14,merge,14.77,apache-2.0,
Sakalti/Saba2-3B,2025-01-05,chat_finetuned,3.086,other,license_unverified;
Sakalti/Sailor-japanese,2024-12-22,chat_finetuned,0.494,,license_unverified;
Sakalti/Saka-1.5B,2025-02-07,chat_finetuned,1.777,,license_unverified;
Sakalti/Saka-14B,2025-02-06,chat_finetuned,14.766,,license_unverified;
Sakalti/Saka-24B,2025-02-06,chat_finetuned,23.572,,license_unverified;
Sakalti/Saka-7.2B,2025-02-06,chat_finetuned,7.292,apache-2.0,
Sakalti/Saka-7.6B,2025-02-07,chat_finetuned,7.616,,license_unverified;
Sakalti/SakaMoe-3x1.6B-Instruct,2025-02-09,chat_finetuned,1.572,apache-2.0,
Sakalti/SakalFusion-7B-Alpha,2025-01-13,chat_finetuned,7.616,,license_unverified;
Sakalti/SakalFusion-7B-Beta,2025-01-28,merge,7.613,,license_unverified;
Sakalti/Tara-3.8B-v1.1,2025-01-10,chat_finetuned,3.821,mit,
Sakalti/light-1.1-3B,2025-01-07,chat_finetuned,3.086,other,license_unverified;
