replicate,power,set,n,weight_L1,rho,top10_overlap,bottom10_overlap,mean_abs_rank_shift
34,1,A2,16104,0.008400115543197039,0.9999419131834552,0.9906890130353817,0.9919304779639975,0.0022545950082536043
34,1,A3,193752,0.008400115543197039,0.9999257771252729,0.9947357555739058,0.9911746490503716,0.002607377455738067
34,2,A1,10247,0.008365324971748272,0.9999649462858526,0.9941463414634146,0.9960975609756098,0.0017775448234026018
34,2,A2,16104,0.008365324971748272,0.9999586479074388,0.9956548727498448,0.9968963376784605,0.0018403029957536322
34,2,A3,193752,0.008365324971748272,0.9999340235450658,0.9944260941370768,0.9921036333608588,0.002459582143640384
35,1,A1,10247,0.005332173090368382,0.9999891870379592,0.9970731707317073,0.9941463414634146,0.0009379528914812619
35,1,A2,16104,0.005332173090368382,0.9999925747837021,0.9975170701427685,0.9975170701427685,0.0007988391525624918
35,1,A3,193752,0.005332173090368382,0.9999647100916652,0.9962840627580511,0.9937035507844756,0.0018418569337875414
35,2,A1,10247,0.005371879638863906,0.9999864199494096,0.9990243902439024,0.9990243902439024,0.001006180807272052
35,2,A2,16104,0.005371879638863906,0.9999933171794816,0.9981378026070763,0.9975170701427685,0.0007278355122898379
35,2,A3,193752,0.005371879638863906,0.9999585082552185,0.9959744013212222,0.9938583815028902,0.0019722895175588026
36,1,A1,10247,0.005420016576468182,0.9999898272414915,0.9980487804878049,0.9951219512195122,0.0009703335326996715
36,1,A2,16104,0.005420016576468182,0.9999707147049667,0.9931719428926132,0.994413407821229,0.0015966526198685198
36,1,A3,193752,0.005420016576468182,0.9999804031183124,0.9970066061106524,0.9961292320396367,0.0013303278682194268
36,2,A1,10247,0.0045866049355927085,0.9999935947972313,0.9990243902439024,0.9980487804878049,0.0007680878571366871
36,2,A2,16104,0.0045866049355927085,0.9999874243336067,0.9975170701427685,0.9981378026070763,0.00104407818380724
36,2,A3,193752,0.0045866049355927085,0.9999899594533209,0.9974194880264244,0.9970066061106524,0.0009539597499905044
37,1,A1,10247,0.0050830974378588065,0.9999849896574062,0.9960975609756098,0.9941463414634146,0.0011656649889907249
37,1,A2,16104,0.0050830974378588065,0.9999746360377617,0.9956548727498448,0.9981378026070763,0.001489133042081907
37,1,A3,193752,0.0050830974378588065,0.999981838755283,0.9965421139554087,0.9961292320396367,0.0012883931635251865
37,2,A1,10247,0.004898500530105529,0.999989959694318,0.9980487804878049,0.9980487804878049,0.0009484289812872179
37,2,A2,16104,0.004898500530105529,0.9999800904593031,0.9962756052141527,0.9975170701427685,0.0013086047250250423
37,2,A3,193752,0.004898500530105529,0.99998586633906,0.9968517753922378,0.9964905037159373,0.0011349693774103343
38,1,A1,10247,0.003865632976448815,0.9999950477297902,0.9980487804878049,0.9980487804878049,0.0006709078386094367
38,1,A2,16104,0.003865632976448815,0.999993120292804,0.9981378026070763,0.9975170701427685,0.0007757419544940006
38,1,A3,193752,0.003865632976448815,0.9999924780615163,0.9980388109000826,0.997471098265896,0.0008310089780403542
38,2,A1,10247,0.0034675395397279693,0.9999945444402778,0.9951219512195122,0.9980487804878049,0.0006932885759221609
38,2,A2,16104,0.0034675395397279693,0.999990235428739,0.9968963376784605,0.9968963376784605,0.0009210730722237892
38,2,A3,193752,0.0034675395397279693,0.9999943051837759,0.9984000825763831,0.9973678777869529,0.0007216949193536925
39,1,A1,10247,0.007917382737628709,0.9999806320530991,0.9960975609756098,0.9941463414634146,0.0013259491630218524
39,1,A2,16104,0.007917382737628709,0.9999842998167666,0.9962756052141527,0.9950341402855369,0.0011757514925956939
39,1,A3,193752,0.007917382737628709,0.9999694046932981,0.9964905037159373,0.9937551610239471,0.001698535269184526
39,2,A1,10247,0.005878969137684972,0.9999916502857923,0.9970731707317073,0.9980487804878049,0.0008674202359331614
39,2,A2,16104,0.005878969137684972,0.999991465991306,0.9968963376784605,0.9975170701427685,0.0008384475696842852
39,2,A3,193752,0.005878969137684972,0.9999907534700639,0.9975743187448389,0.9968517753922378,0.0009156881938111013
40,1,A1,10247,0.0051674228525354846,0.9999909317548603,0.9980487804878049,0.9951219512195122,0.000896677097645795
40,1,A2,16104,0.0051674228525354846,0.9999897761730292,0.9981378026070763,0.9968963376784605,0.0009450802767604214
40,1,A3,193752,0.0051674228525354846,0.9999851508760326,0.9973678777869529,0.9964905037159373,0.001158048646197997
40,2,A1,10247,0.004386924552270535,0.9999942580316735,0.9990243902439024,1.0,0.0006973075849204459
40,2,A2,16104,0.004386924552270535,0.9999953721186328,0.9981378026070763,0.9987585350713842,0.0006305419393909781
40,2,A3,193752,0.004386924552270535,0.999986482487242,0.9974194880264244,0.9966969446738233,0.0011125576128439493
41,1,A1,10247,0.006188113243781591,0.999988884836731,0.9990243902439024,0.9960975609756098,0.0009517432351531022
41,1,A2,16104,0.006188113243781591,0.9999900450960434,0.9968963376784605,0.9975170701427685,0.0009301577130667551
41,1,A3,193752,0.006188113243781591,0.9999645564790226,0.9959227910817506,0.9944777043765483,0.0018403634270563517
41,2,A1,10247,0.00608119988009239,0.9999888245325518,0.9980487804878049,0.9970731707317073,0.0008812677219130342
41,2,A2,16104,0.00608119988009239,0.9999955452460478,0.9987585350713842,0.9981378026070763,0.0006156579352934195
