alpha,nu,objective
0.3375,0.27625,9.643573407200988e-05
0.3375,0.2765,8.58101302974685e-05
0.3375,0.27675,7.594091732146916e-05
0.3375,0.277,6.68279051377361e-05
0.3375,0.27725,5.847090246185632e-05
0.3375,0.2775,5.086971673217047e-05
0.3375,0.27775,4.4024154110595674e-05
0.3375,0.278,3.793401948348934e-05
0.3375,0.27825,3.259911646251092e-05
0.3375,0.2785,2.8019247385480042e-05
0.3375,0.27875,2.4194213317285388e-05
0.3375,0.279,2.112381405070268e-05
0.3375,0.27925,1.8807848107346757e-05
0.3375,0.2795,1.724611273849191e-05
0.3375,0.27975,1.6438403926032315e-05
0.3375,0.2798924654965345,1.6315320609927345e-05
0.3375,0.28,1.638451638334912e-05
0.3375,0.28025,1.7084243556191336e-05
0.3375,0.28049999999999997,1.853737762364129e-05
0.3375,0.28075,2.0743709498996993e-05
0.3375,0.28099999999999997,2.370302883069423e-05
0.3375,0.28125,2.74151240032469e-05
0.3375,0.2815,3.187978213817079e-05
0.3375,0.28175,3.709678909491777e-05
0.3375,0.282,4.306592947183425e-05
0.3375,0.28225,4.978698660710032e-05
0.3375,0.2825,5.725974257965493e-05
0.3375,0.28275,6.548397821021979e-05
0.3375,0.283,7.445947306220235e-05
0.3375,0.28325,8.418600544269765e-05
0.3375,0.2835,9.466335240345455e-05
0.3375,0.28375,0.00010589128974185753
0.3375,0.284,0.00011786959200190042
0.3375,0.28425,0.00013059803247520986
0.3375,0.2845,0.00014407638320198925
0.3375,0.28474999999999995,0.00015830441497208096
0.3375,0.285,0.00017328189732592614
0.33775,0.275,0.00015811924263061793
0.33775,0.27525,0.00014370900208205328
0.33775,0.2755,0.00013005608318400792
0.33775,0.27575,0.00011716030233311075
0.33775,0.276,0.0001050214746436941
0.33775,0.27625,9.363941394867701e-05
0.33775,0.2765,8.301393280033235e-05
0.33775,0.27675,7.314484247116433e-05
0.33775,0.277,6.403195295470786e-05
0.33775,0.27725,5.5675072966385156e-05
0.33775,0.2775,4.807400994435721e-05
0.33775,0.27775,4.12285700503647e-05
0.33775,0.278,3.513855817058285e-05
0.33775,0.27825,2.9803777916495122e-05
0.33775,0.2785,2.5224031625753e-05
0.33775,0.27875,2.139912036304929e-05
0.33775,0.279,1.832884392099572e-05
0.33775,0.27925,1.601300082102344e-05
0.33775,0.2795,1.445138831423824e-05
0.33775,0.27975,1.3643802382343429e-05
0.33775,0.2798924654965345,1.3520789099408274e-05
0.33775,0.28,1.3590037738549282e-05
0.33775,0.28025,1.4289887828427551e-05
0.33775,0.28049999999999997,1.5743144830886082e-05
0.33775,0.28075,1.79495996590463e-05
0.33775,0.28099999999999997,2.090904196117561e-05
0.33775,0.28125,2.462126012159251e-05
0.33775,0.2815,2.908604126164306e-05
0.33775,0.28175,3.430317124061468e-05
0.33775,0.282,4.0272434656661815e-05
0.33775,0.28225,4.699361484778435e-05
0.33775,0.2825,5.4466493892761036e-05
0.33775,0.28275,6.269085261213027e-05
0.33775,0.283,7.166647056911853e-05
0.33775,0.28325,8.13931260706506e-05
0.33775,0.2835,9.187059616830098e-05
0.33775,0.28375,0.00010309865665927625
0.33775,0.284,0.00011507708208738392
0.33775,0.28425,0.00012780564574408747
0.33775,0.2845,0.00014128411966941317
0.33775,0.28474999999999995,0.00015551227465302971
0.33775,0.285,0.00017048988023519055
0.338,0.275,0.00015561884461180863
0.338,0.27525,0.0001412087266192386
0.338,0.2755,0.00012755593029844462
0.338,0.27575,0.00011466027204587478
0.338,0.276,0.00010252156697568
0.338,0.27625,9.113962892060884e-05
0.338,0.2765,8.051427043275645e-05
0.338,0.27675,7.06453027844385e-05
0.338,0.277,6.153253596902104e-05
0.338,0.27725,5.3175778701747417e-05
0.338,0.2775,4.5574838420599536e-05
0.338,0.27775,3.872952128713515e-05
0.338,0.278,3.2639632187356796e-05
0.338,0.27825,2.730497473257515e-05
0.338,0.2785,2.2725351260252635e-05
